x,y,I1,I2,I3,I4,I5,I6,I7
-8.0,-8.0,0,0,0,0,0,0,0
-8.0,-6.545454545454545,0,0,0,0,0,0,0
-8.0,-5.090909090909091,0,1,0,0,0,0,0
-8.0,-3.6363636363636367,0,0,0,0,2,0,0
-8.0,-2.1818181818181817,1,2,0,2,3,0,0
-8.0,-0.7272727272727266,1,1,0,1,4,5,1
-8.0,0.7272727272727266,0,1,0,4,6,0,0
-8.0,2.1818181818181817,0,2,0,1,2,2,1
-8.0,3.6363636363636367,0,0,0,0,2,0,1
-8.0,5.090909090909092,0,0,0,0,0,0,0
-8.0,6.545454545454547,0,0,0,0,0,0,0
-8.0,8.0,0,0,0,0,0,0,0
-6.545454545454545,-8.0,0,0,0,0,0,0,0
-6.545454545454545,-6.545454545454545,0,2,0,0,2,0,0
-6.545454545454545,-5.090909090909091,0,13,0,0,7,0,0
-6.545454545454545,-3.6363636363636367,2,1,1,3,1,1,4
-6.545454545454545,-2.1818181818181817,5,1,1,2,2,2,1
-6.545454545454545,-0.7272727272727266,2,3,2,2,1,3,0
-6.545454545454545,0.7272727272727266,2,2,3,2,0,4,3
-6.545454545454545,2.1818181818181817,1,2,1,0,1,3,2
-6.545454545454545,3.6363636363636367,0,3,0,1,3,1,2
-6.545454545454545,5.090909090909092,0,0,0,0,3,1,2
-6.545454545454545,6.545454545454547,0,0,0,0,0,0,1
-6.545454545454545,8.0,0,0,0,0,0,0,0
-5.090909090909091,-8.0,0,2,0,0,2,0,0
-5.090909090909091,-6.545454545454545,6,1,0,3,1,0,0
-5.090909090909091,-5.090909090909091,1,4,0,2,0,3,3
-5.090909090909091,-3.6363636363636367,1,3,4,2,3,1,4
-5.090909090909091,-2.1818181818181817,1,2,2,3,0,3,4
-5.090909090909091,-0.7272727272727266,3,0,3,2,0,2,3
-5.090909090909091,0.7272727272727266,2,3,3,3,1,2,1
-5.090909090909091,2.1818181818181817,2,2,2,3,1,1,6
-5.090909090909091,3.6363636363636367,2,2,3,2,2,2,3
-5.090909090909091,5.090909090909092,0,6,2,4,1,5,2
-5.090909090909091,6.545454545454547,0,1,0,4,4,6,2
-5.090909090909091,8.0,0,0,0,0,0,0,0
-3.6363636363636367,-8.0,3,7,1,1,0,0,0
-3.6363636363636367,-6.545454545454545,3,3,0,3,2,4,1
-3.6363636363636367,-5.090909090909091,0,1,5,0,2,3,4
-3.6363636363636367,-3.6363636363636367,3,0,0,2,1,0,2
-3.6363636363636367,-2.1818181818181817,0,0,1,4,0,3,0
-3.6363636363636367,-0.7272727272727266,2,0,1,0,0,1,0
-3.6363636363636367,0.7272727272727266,0,0,2,0,0,1,0
-3.6363636363636367,2.1818181818181817,2,0,0,0,0,0,0
-3.6363636363636367,3.6363636363636367,0,3,2,3,1,3,0
-3.6363636363636367,5.090909090909092,5,2,4,2,2,3,0
-3.6363636363636367,6.545454545454547,0,0,3,2,3,2,2
-3.6363636363636367,8.0,0,0,0,0,5,0,0
-2.1818181818181817,-8.0,5,2,0,2,0,0,1
-2.1818181818181817,-6.545454545454545,2,1,1,6,4,3,2
-2.1818181818181817,-5.090909090909091,2,3,1,2,4,3,2
-2.1818181818181817,-3.6363636363636367,1,0,3,1,0,2,2
-2.1818181818181817,-2.1818181818181817,0,0,0,0,0,1,0
-2.1818181818181817,-0.7272727272727266,0,0,0,0,0,0,0
-2.1818181818181817,0.7272727272727266,0,0,0,0,0,0,0
-2.1818181818181817,2.1818181818181817,1,0,0,0,0,0,0
